sex,age,Family Size,Parents' Cohabitation Status,Mother's education,Father's education,Mother's job,Father's job,reason to choose school,traveltime (home to school),weekly study time ,past class failures,schoolsup,famsup,takes extra paid classes,extra-curricular activities,nursery,willingness to pursue higher education,access to internet,In romantic relationship or not,famrel,freetime after school,Going Out,Workday Alchohol Consumption,Weekend Alchohol Consumption,health,absences,dropout
Female,18,Greater than 3,Apart,higher education,higher education,at_home,teacher,course,15 to 30 min,2 to 5 hours,0,yes,no,no,no,yes,yes,no,no,Good,moderate,regularly,Very Low,very low,average,6,yes
Female,17,Greater than 3,Living Together,4th grade,4th grade,at_home,other,course,<15 min,2 to 5 hours,0,no,yes,no,no,no,yes,yes,no,Excellent,moderate,occasionally,Very Low,very low,average,4,yes
Female,15,Less or equal to 3,Living Together,4th grade,4th grade,at_home,other,other,<15 min,2 to 5 hours,3,yes,no,yes,no,yes,yes,yes,no,Good,moderate,rarely,Low,average,average,10,no
Female,15,Greater than 3,Living Together,higher education,9th grade,health,services,home,<15 min,5 to 10 hours,0,no,yes,yes,yes,yes,yes,yes,yes,Average,limited,rarely,Very Low,very low,very good,2,no
Female,16,Greater than 3,Living Together,12th grade,12th grade,other,other,home,<15 min,2 to 5 hours,0,no,yes,yes,no,yes,yes,no,no,Good,moderate,rarely,Very Low,low,very good,4,no
Male,16,Less or equal to 3,Living Together,higher education,12th grade,services,other,reputation,<15 min,2 to 5 hours,0,no,yes,yes,yes,yes,yes,yes,no,Excellent,plenty,rarely,Very Low,low,very good,10,no
Male,16,Less or equal to 3,Living Together,9th grade,9th grade,other,other,home,<15 min,2 to 5 hours,0,no,no,no,no,yes,yes,yes,no,Good,plenty,regularly,Very Low,very low,average,0,no
Female,17,Greater than 3,Apart,higher education,higher education,other,teacher,home,15 to 30 min,2 to 5 hours,0,yes,yes,no,no,yes,yes,no,no,Good,scarce,regularly,Very Low,very low,very bad,6,yes
Male,15,Less or equal to 3,Apart,12th grade,9th grade,services,other,home,<15 min,2 to 5 hours,0,no,yes,yes,no,yes,yes,yes,no,Good,limited,rarely,Very Low,very low,very bad,0,no
Male,15,Greater than 3,Living Together,12th grade,higher education,other,other,home,<15 min,2 to 5 hours,0,no,yes,yes,yes,yes,yes,yes,no,Excellent,ample,very rarely,Very Low,very low,very good,0,no
Female,15,Greater than 3,Living Together,higher education,higher education,teacher,health,reputation,<15 min,2 to 5 hours,0,no,yes,yes,no,yes,yes,yes,no,Average,moderate,occasionally,Very Low,low,bad,0,yes
Female,15,Greater than 3,Living Together,9th grade,4th grade,services,other,reputation,30 min to 1 hour,5 to 10 hours,0,no,yes,no,yes,yes,yes,yes,no,Excellent,limited,rarely,Very Low,very low,good,4,no
Male,15,Less or equal to 3,Living Together,higher education,higher education,health,services,course,<15 min,<2 hours,0,no,yes,yes,yes,yes,yes,yes,no,Good,moderate,occasionally,Very Low,average,very good,2,no
Male,15,Greater than 3,Living Together,higher education,12th grade,teacher,other,course,15 to 30 min,2 to 5 hours,0,no,yes,yes,no,yes,yes,yes,no,Excellent,plenty,occasionally,Very Low,low,average,2,no
Male,15,Greater than 3,Apart,9th grade,9th grade,other,other,home,<15 min,5 to 10 hours,0,no,yes,no,no,yes,yes,yes,yes,Good,ample,rarely,Very Low,very low,average,0,no
Female,16,Greater than 3,Living Together,higher education,higher education,health,other,home,<15 min,<2 hours,0,no,yes,no,no,yes,yes,yes,no,Good,plenty,regularly,Very Low,low,bad,4,no
Female,16,Greater than 3,Living Together,higher education,higher education,services,services,reputation,<15 min,5 to 10 hours,0,no,yes,yes,yes,yes,yes,yes,no,Average,limited,occasionally,Very Low,low,bad,6,no
Female,16,Greater than 3,Living Together,12th grade,12th grade,other,other,reputation,30 min to 1 hour,2 to 5 hours,0,yes,yes,no,yes,yes,yes,no,no,Excellent,moderate,rarely,Very Low,very low,good,4,no
Male,17,Greater than 3,Living Together,12th grade,9th grade,services,services,course,<15 min,<2 hours,3,no,yes,no,yes,yes,yes,yes,no,Excellent,ample,daily,Low,high,very good,16,yes
Male,16,Less or equal to 3,Living Together,higher education,12th grade,health,other,home,<15 min,<2 hours,0,no,no,yes,yes,yes,yes,yes,no,Average,scarce,occasionally,Very Low,average,very good,4,no
Male,15,Greater than 3,Living Together,higher education,12th grade,teacher,other,reputation,<15 min,2 to 5 hours,0,no,no,no,no,yes,yes,yes,no,Good,plenty,very rarely,Very Low,very low,very bad,0,no
Male,15,Greater than 3,Living Together,higher education,higher education,health,health,other,<15 min,<2 hours,0,no,yes,yes,no,yes,yes,yes,no,Excellent,plenty,rarely,Very Low,very low,very good,0,no
Male,16,Less or equal to 3,Living Together,higher education,9th grade,teacher,other,course,<15 min,2 to 5 hours,0,no,no,no,yes,yes,yes,yes,no,Good,ample,very rarely,Very Low,average,very good,2,no
Male,16,Less or equal to 3,Living Together,9th grade,9th grade,other,other,reputation,15 to 30 min,2 to 5 hours,0,no,yes,no,yes,yes,yes,yes,no,Excellent,plenty,regularly,Low,high,very good,0,no
Female,15,Greater than 3,Living Together,9th grade,higher education,services,health,course,<15 min,5 to 10 hours,0,yes,yes,yes,yes,yes,yes,yes,no,Good,moderate,rarely,Very Low,very low,very good,2,yes
Female,16,Greater than 3,Living Together,9th grade,9th grade,services,services,home,<15 min,<2 hours,2,no,yes,yes,no,no,yes,yes,no,Very Bad,limited,rarely,Very Low,average,very good,14,yes
Male,15,Greater than 3,Living Together,9th grade,9th grade,other,other,home,<15 min,<2 hours,0,no,yes,yes,no,yes,yes,yes,no,Good,limited,rarely,Very Low,low,very good,2,no
Male,15,Greater than 3,Living Together,higher education,9th grade,health,services,other,<15 min,<2 hours,0,no,no,yes,no,yes,yes,yes,no,Bad,limited,regularly,Low,high,very bad,4,no
Male,16,Less or equal to 3,Apart,12th grade,higher education,services,other,home,<15 min,2 to 5 hours,0,yes,yes,no,yes,yes,yes,yes,no,Excellent,moderate,occasionally,Very Low,very low,very good,4,no
Male,16,Greater than 3,Living Together,higher education,higher education,teacher,teacher,home,<15 min,2 to 5 hours,0,no,yes,yes,yes,yes,yes,yes,yes,Good,plenty,daily,Very High,very high,very good,16,no
Male,15,Greater than 3,Living Together,higher education,higher education,health,services,home,<15 min,2 to 5 hours,0,no,yes,yes,no,no,yes,yes,no,Excellent,plenty,rarely,Average,high,very good,0,no
Male,15,Greater than 3,Living Together,higher education,higher education,services,services,reputation,15 to 30 min,2 to 5 hours,0,no,yes,no,yes,yes,yes,yes,no,Good,moderate,very rarely,Very Low,very low,very good,0,no
Male,15,Greater than 3,Living Together,higher education,12th grade,teacher,at_home,course,<15 min,2 to 5 hours,0,no,yes,no,yes,yes,yes,yes,yes,Good,ample,rarely,Very Low,very low,very good,0,no
Male,15,Less or equal to 3,Living Together,12th grade,12th grade,other,other,course,<15 min,2 to 5 hours,0,no,no,no,yes,no,yes,yes,no,Excellent,moderate,rarely,Very Low,very low,bad,0,no
Male,16,Greater than 3,Living Together,12th grade,9th grade,other,other,home,<15 min,<2 hours,0,no,yes,yes,no,no,yes,yes,no,Excellent,plenty,occasionally,Very Low,very low,very good,0,no
Female,15,Greater than 3,Living Together,9th grade,12th grade,other,other,other,15 to 30 min,<2 hours,0,no,yes,no,yes,yes,yes,no,no,Average,ample,very rarely,Very Low,very low,very good,0,yes
Male,15,Less or equal to 3,Living Together,higher education,12th grade,teacher,services,home,<15 min,5 to 10 hours,0,no,yes,no,yes,yes,yes,yes,no,Excellent,plenty,occasionally,Very Low,very low,good,2,no
Male,16,Greater than 3,Apart,higher education,higher education,other,teacher,reputation,15 to 30 min,5 to 10 hours,0,no,yes,no,yes,yes,yes,yes,yes,Bad,plenty,occasionally,Very Low,very low,very good,7,no
Female,15,Greater than 3,Living Together,12th grade,higher education,services,health,course,<15 min,5 to 10 hours,0,yes,yes,yes,yes,yes,yes,yes,no,Good,moderate,rarely,Very Low,very low,very good,2,no
Female,15,Greater than 3,Living Together,9th grade,9th grade,at_home,other,reputation,<15 min,<2 hours,0,yes,yes,yes,yes,yes,yes,no,no,Good,moderate,very rarely,Very Low,very low,bad,8,no
Female,16,Less or equal to 3,Living Together,9th grade,9th grade,other,other,home,15 to 30 min,2 to 5 hours,1,no,yes,no,yes,no,yes,yes,yes,Average,moderate,occasionally,Very Low,low,average,25,no
Male,15,Less or equal to 3,Living Together,higher education,higher education,teacher,other,home,<15 min,<2 hours,0,no,yes,no,no,no,yes,yes,yes,Excellent,plenty,occasionally,Low,high,very good,8,no
Male,15,Greater than 3,Living Together,higher education,higher education,services,teacher,course,<15 min,2 to 5 hours,0,no,yes,no,yes,yes,yes,yes,no,Good,moderate,occasionally,Very Low,very low,very good,2,no
Male,15,Greater than 3,Living Together,9th grade,9th grade,services,services,course,<15 min,<2 hours,0,yes,yes,no,no,yes,yes,yes,no,Excellent,plenty,very rarely,Very Low,very low,very bad,0,no
Female,16,Less or equal to 3,Living Together,9th grade,9th grade,other,at_home,course,15 to 30 min,2 to 5 hours,1,yes,no,no,yes,yes,yes,yes,no,Good,moderate,occasionally,Low,low,very good,14,yes
Female,15,Less or equal to 3,Apart,higher education,12th grade,other,other,course,<15 min,2 to 5 hours,0,yes,yes,yes,yes,yes,yes,yes,yes,Excellent,limited,rarely,Very Low,very low,very good,8,yes
Female,16,Less or equal to 3,Apart,12th grade,12th grade,other,services,home,<15 min,2 to 5 hours,0,no,yes,no,no,yes,yes,yes,no,Bad,moderate,daily,Very Low,high,average,12,no
Male,16,Greater than 3,Living Together,higher education,12th grade,health,services,reputation,<15 min,>10 hours,0,no,no,no,yes,yes,yes,yes,no,Good,limited,rarely,Very Low,very low,bad,4,no
Male,15,Greater than 3,Living Together,higher education,9th grade,teacher,other,home,<15 min,2 to 5 hours,0,no,yes,yes,no,yes,yes,no,no,Good,moderate,occasionally,Low,low,very good,2,no
Female,15,Greater than 3,Living Together,higher education,higher education,services,teacher,other,<15 min,2 to 5 hours,1,yes,yes,no,yes,no,yes,yes,no,Good,plenty,regularly,Very Low,very low,average,2,yes
Female,16,Less or equal to 3,Living Together,9th grade,9th grade,services,services,course,30 min to 1 hour,2 to 5 hours,0,no,yes,yes,no,yes,yes,yes,no,Good,moderate,occasionally,Low,average,good,2,no
Female,15,Less or equal to 3,Living Together,higher education,9th grade,health,other,other,<15 min,2 to 5 hours,0,no,yes,yes,no,yes,yes,yes,no,Good,moderate,occasionally,Very Low,very low,very good,2,no
Male,15,Less or equal to 3,Apart,higher education,9th grade,health,health,other,15 to 30 min,<2 hours,1,no,no,no,no,yes,yes,no,no,Excellent,ample,daily,Average,high,very good,6,no
Female,15,Greater than 3,Living Together,higher education,higher education,services,services,course,<15 min,<2 hours,0,yes,yes,yes,no,yes,yes,yes,no,Average,moderate,regularly,Low,average,very good,0,no
Female,15,Less or equal to 3,Apart,12th grade,12th grade,other,other,other,<15 min,<2 hours,0,no,no,yes,no,yes,yes,yes,no,Excellent,moderate,regularly,High,high,very bad,6,no
Female,16,Greater than 3,Apart,9th grade,4th grade,other,other,other,<15 min,2 to 5 hours,0,no,no,yes,yes,yes,yes,yes,yes,Excellent,moderate,regularly,Very Low,very low,bad,8,no
Female,15,Greater than 3,Apart,higher education,12th grade,services,services,reputation,<15 min,2 to 5 hours,0,no,yes,yes,yes,yes,yes,yes,no,Good,moderate,rarely,Very Low,very low,very bad,0,no
Male,15,Greater than 3,Living Together,higher education,higher education,teacher,health,reputation,<15 min,2 to 5 hours,0,no,yes,no,yes,yes,yes,no,no,Average,limited,rarely,Very Low,very low,very good,4,no
Male,15,Less or equal to 3,Living Together,4th grade,9th grade,other,at_home,home,<15 min,2 to 5 hours,0,yes,yes,no,yes,yes,yes,yes,no,Good,moderate,rarely,Very Low,very low,very good,2,yes
Female,16,Greater than 3,Living Together,higher education,9th grade,services,other,course,<15 min,2 to 5 hours,0,no,yes,no,no,yes,yes,yes,no,Good,limited,occasionally,Very Low,very low,very good,2,no
Female,16,Greater than 3,Living Together,higher education,higher education,health,teacher,other,<15 min,2 to 5 hours,0,no,yes,no,yes,yes,yes,no,no,Bad,plenty,regularly,Low,average,good,6,no
Female,16,Greater than 3,Living Together,4th grade,4th grade,services,services,course,>1 hour,<2 hours,0,yes,yes,no,yes,no,yes,yes,yes,Excellent,ample,daily,Very High,very high,very good,6,no
Female,16,Less or equal to 3,Living Together,4th grade,9th grade,other,services,reputation,<15 min,2 to 5 hours,0,yes,no,no,yes,yes,yes,yes,no,Good,plenty,occasionally,Very Low,very low,very bad,4,yes
Female,16,Greater than 3,Living Together,higher education,12th grade,teacher,health,home,<15 min,5 to 10 hours,0,yes,yes,yes,yes,yes,yes,yes,no,Average,plenty,regularly,Low,high,good,2,yes
Female,15,Less or equal to 3,Living Together,higher education,12th grade,services,services,reputation,<15 min,2 to 5 hours,0,yes,no,no,yes,yes,yes,yes,yes,Good,plenty,regularly,Low,high,bad,0,no
Female,16,Less or equal to 3,Living Together,higher education,12th grade,teacher,services,course,30 min to 1 hour,2 to 5 hours,0,no,yes,no,yes,yes,yes,yes,no,Excellent,plenty,occasionally,Very Low,low,very bad,2,no
Male,15,Greater than 3,Apart,higher education,higher education,other,services,reputation,<15 min,>10 hours,0,no,yes,no,yes,no,yes,yes,yes,Very Bad,moderate,occasionally,Very High,very high,average,4,no
Female,16,Greater than 3,Living Together,12th grade,4th grade,services,other,course,<15 min,>10 hours,0,yes,yes,yes,no,yes,yes,yes,no,Good,moderate,occasionally,Very Low,low,very good,4,yes
Female,15,Less or equal to 3,Living Together,9th grade,9th grade,health,services,reputation,15 to 30 min,2 to 5 hours,0,yes,yes,yes,no,yes,yes,yes,no,Good,scarce,occasionally,Very Low,average,good,2,yes
Female,15,Less or equal to 3,Living Together,12th grade,4th grade,other,other,reputation,15 to 30 min,>10 hours,0,no,yes,no,no,no,yes,yes,no,Good,plenty,rarely,Low,average,average,12,no
Male,16,Greater than 3,Living Together,12th grade,4th grade,other,other,reputation,15 to 30 min,>10 hours,0,no,yes,yes,no,yes,yes,yes,no,Good,moderate,rarely,Very Low,very low,very good,0,no
Male,15,Greater than 3,Living Together,higher education,9th grade,other,other,course,<15 min,>10 hours,0,no,no,no,no,yes,yes,yes,no,Average,moderate,occasionally,Very Low,very low,average,0,no
Female,15,Greater than 3,Living Together,4th grade,4th grade,other,other,reputation,<15 min,2 to 5 hours,2,yes,yes,no,no,no,yes,yes,yes,Average,moderate,regularly,Low,high,very good,2,yes
Male,16,Greater than 3,Living Together,12th grade,4th grade,other,other,reputation,<15 min,<2 hours,0,no,no,no,yes,yes,yes,no,no,Excellent,moderate,rarely,Low,low,very good,2,no
Female,16,Greater than 3,Living Together,12th grade,12th grade,other,services,home,<15 min,2 to 5 hours,0,yes,yes,yes,yes,yes,yes,yes,no,Good,moderate,occasionally,Low,high,very good,54,no
Male,15,Greater than 3,Living Together,higher education,12th grade,teacher,other,home,<15 min,2 to 5 hours,0,no,yes,yes,yes,yes,yes,yes,no,Good,moderate,occasionally,Low,average,very good,6,no
Male,15,Greater than 3,Living Together,higher education,none,teacher,other,course,15 to 30 min,>10 hours,0,no,no,no,yes,yes,yes,yes,no,Average,plenty,occasionally,Very Low,very low,very bad,8,no
Female,16,Greater than 3,Living Together,9th grade,9th grade,other,other,reputation,<15 min,>10 hours,0,no,no,yes,no,yes,yes,yes,yes,Excellent,limited,occasionally,Very Low,average,average,0,no
Male,17,Greater than 3,Living Together,9th grade,4th grade,other,other,home,15 to 30 min,<2 hours,3,yes,yes,no,yes,yes,no,yes,no,Good,ample,very rarely,Very Low,very low,average,2,no
Female,16,Greater than 3,Living Together,12th grade,higher education,at_home,other,course,<15 min,2 to 5 hours,0,no,yes,no,no,yes,yes,yes,no,Bad,plenty,occasionally,Very Low,low,average,12,yes
Male,15,Greater than 3,Living Together,9th grade,12th grade,other,services,course,<15 min,<2 hours,0,yes,yes,yes,yes,no,yes,yes,yes,Average,limited,rarely,Very Low,average,average,2,no
Male,15,Greater than 3,Living Together,9th grade,12th grade,other,other,home,<15 min,5 to 10 hours,0,yes,no,yes,no,no,yes,yes,no,Excellent,moderate,rarely,Very Low,low,very good,4,no
Female,15,Less or equal to 3,Living Together,12th grade,9th grade,services,other,reputation,<15 min,2 to 5 hours,0,no,yes,yes,no,yes,yes,yes,no,Good,plenty,regularly,Very Low,very low,very good,10,yes
Male,15,Less or equal to 3,Living Together,9th grade,9th grade,services,services,home,15 to 30 min,2 to 5 hours,0,no,no,yes,yes,yes,yes,yes,no,Excellent,moderate,occasionally,Very Low,average,good,4,no
Female,15,Greater than 3,Living Together,4th grade,4th grade,other,other,home,<15 min,2 to 5 hours,0,no,yes,no,yes,no,yes,yes,no,Good,moderate,rarely,Low,average,good,2,no
Female,15,Greater than 3,Living Together,higher education,higher education,services,services,reputation,15 to 30 min,2 to 5 hours,2,no,no,yes,no,yes,yes,yes,yes,Good,plenty,regularly,Low,average,very good,6,yes
Female,16,Less or equal to 3,Living Together,9th grade,9th grade,at_home,other,course,<15 min,2 to 5 hours,0,no,yes,no,no,yes,yes,no,no,Good,moderate,regularly,Very Low,low,bad,4,yes
Female,15,Greater than 3,Living Together,higher education,9th grade,other,other,reputation,<15 min,5 to 10 hours,0,no,yes,no,yes,yes,yes,yes,no,Excellent,moderate,occasionally,Very Low,average,very bad,4,no
Male,16,Greater than 3,Living Together,9th grade,9th grade,services,other,reputation,15 to 30 min,2 to 5 hours,1,no,no,yes,yes,no,yes,yes,no,Good,plenty,rarely,Very Low,very low,average,12,no
Male,16,Less or equal to 3,Apart,higher education,higher education,teacher,health,reputation,<15 min,2 to 5 hours,0,no,yes,no,no,yes,yes,no,no,Good,scarce,occasionally,Average,very high,very good,18,yes
Female,16,Greater than 3,Living Together,12th grade,12th grade,other,other,home,<15 min,5 to 10 hours,0,no,yes,yes,no,yes,yes,yes,yes,Good,moderate,occasionally,Very Low,average,good,0,yes
Female,15,Greater than 3,Living Together,higher education,12th grade,services,other,reputation,<15 min,<2 hours,0,no,no,yes,yes,yes,yes,yes,no,Good,ample,daily,Very Low,average,very bad,4,no
Female,16,Less or equal to 3,Living Together,12th grade,4th grade,other,other,home,<15 min,2 to 5 hours,0,yes,yes,no,no,yes,yes,no,no,Average,moderate,occasionally,Low,average,bad,4,yes
Female,16,Greater than 3,Living Together,higher education,9th grade,teacher,services,home,15 to 30 min,2 to 5 hours,0,no,yes,yes,yes,yes,yes,yes,no,Excellent,moderate,occasionally,Very Low,very low,very bad,0,no
Male,15,Less or equal to 3,Living Together,9th grade,9th grade,services,health,reputation,<15 min,>10 hours,0,no,yes,no,yes,yes,yes,yes,no,Good,moderate,regularly,Very Low,very low,good,6,no
Female,15,Greater than 3,Living Together,4th grade,4th grade,at_home,other,home,15 to 30 min,>10 hours,1,yes,yes,yes,yes,yes,yes,yes,no,Average,scarce,rarely,Very Low,very low,very bad,2,no
Male,16,Greater than 3,Living Together,higher education,12th grade,services,other,reputation,15 to 30 min,<2 hours,0,yes,yes,no,yes,no,yes,yes,no,Average,moderate,occasionally,Very Low,very low,good,2,no
Female,16,Greater than 3,Living Together,9th grade,4th grade,other,other,course,<15 min,2 to 5 hours,0,no,yes,yes,no,yes,yes,no,yes,Good,moderate,daily,Very Low,very low,very good,2,no
Female,16,Greater than 3,Living Together,higher education,higher education,other,other,reputation,<15 min,<2 hours,0,no,no,no,yes,no,yes,yes,no,Excellent,moderate,regularly,Very Low,low,very bad,6,no
Female,16,Greater than 3,Living Together,higher education,12th grade,other,at_home,course,<15 min,5 to 10 hours,0,yes,yes,yes,no,yes,yes,yes,no,Excellent,moderate,daily,Very Low,very low,average,0,yes
Male,16,Greater than 3,Living Together,higher education,higher education,services,services,other,<15 min,<2 hours,0,yes,yes,yes,yes,yes,yes,yes,no,Good,ample,daily,Very High,very high,good,14,yes
Male,16,Greater than 3,Living Together,higher education,higher education,services,teacher,other,<15 min,5 to 10 hours,0,no,yes,no,yes,yes,yes,yes,yes,Good,plenty,occasionally,Very Low,very low,good,0,no
Male,15,Greater than 3,Living Together,higher education,higher education,services,other,course,<15 min,<2 hours,0,no,yes,no,yes,no,yes,yes,no,Excellent,moderate,occasionally,Very Low,very low,very good,4,no
Female,15,Greater than 3,Living Together,12th grade,9th grade,services,other,home,15 to 30 min,2 to 5 hours,0,yes,yes,yes,no,yes,yes,yes,no,Good,moderate,daily,Very Low,very low,bad,26,yes
Male,15,Greater than 3,Apart,12th grade,higher education,services,other,course,<15 min,2 to 5 hours,0,no,yes,yes,yes,yes,yes,yes,no,Excellent,plenty,regularly,Very Low,very low,very bad,0,no
Female,15,Greater than 3,Apart,12th grade,12th grade,other,health,reputation,<15 min,>10 hours,0,yes,no,no,no,yes,yes,no,no,Good,moderate,occasionally,Very Low,very low,good,10,no
Female,15,Greater than 3,Living Together,9th grade,9th grade,other,other,course,<15 min,>10 hours,0,yes,yes,yes,no,yes,yes,yes,no,Excellent,scarce,rarely,Very Low,very low,average,8,yes
Male,16,Greater than 3,Living Together,12th grade,12th grade,services,other,home,<15 min,5 to 10 hours,0,no,yes,no,yes,yes,yes,yes,no,Excellent,moderate,occasionally,Very Low,very low,very good,2,no
Male,15,Greater than 3,Living Together,higher education,higher education,other,other,home,>1 hour,>10 hours,0,no,yes,yes,yes,yes,yes,yes,yes,Very Bad,moderate,daily,Average,very high,very bad,6,no
Female,16,Less or equal to 3,Living Together,higher education,higher education,health,health,other,<15 min,5 to 10 hours,0,no,yes,yes,yes,yes,yes,yes,yes,Excellent,plenty,daily,Very Low,very low,good,4,no
Male,15,Less or equal to 3,Apart,higher education,higher education,teacher,teacher,course,<15 min,<2 hours,0,no,no,no,yes,yes,yes,yes,no,Excellent,ample,occasionally,Very Low,very low,good,6,no
Female,16,Greater than 3,Living Together,12th grade,12th grade,services,other,reputation,<15 min,5 to 10 hours,1,yes,yes,no,yes,yes,yes,yes,no,Good,scarce,rarely,Very Low,very low,bad,0,no
Female,16,Greater than 3,Living Together,9th grade,9th grade,at_home,other,home,<15 min,2 to 5 hours,1,yes,no,no,yes,yes,yes,yes,no,Average,scarce,rarely,Very Low,very low,very good,6,no
Male,15,Less or equal to 3,Living Together,higher education,9th grade,teacher,other,course,<15 min,<2 hours,0,no,no,no,no,yes,yes,yes,no,Average,ample,rarely,Very Low,very low,average,10,no
Male,15,Greater than 3,Living Together,9th grade,4th grade,health,services,reputation,<15 min,2 to 5 hours,0,no,no,no,yes,yes,yes,yes,yes,Excellent,plenty,rarely,Very Low,very low,very good,8,yes
Male,16,Greater than 3,Living Together,higher education,higher education,teacher,teacher,course,<15 min,2 to 5 hours,0,no,yes,no,yes,yes,yes,yes,no,Excellent,plenty,regularly,Very Low,low,very good,2,no
Male,15,Greater than 3,Living Together,higher education,higher education,other,teacher,reputation,15 to 30 min,2 to 5 hours,0,no,yes,no,yes,yes,yes,no,no,Good,plenty,occasionally,Very Low,very low,bad,2,no
Male,16,Greater than 3,Living Together,12th grade,12th grade,other,services,home,15 to 30 min,<2 hours,0,no,no,no,yes,yes,yes,yes,no,Excellent,plenty,rarely,Very Low,very low,very good,0,no
Male,17,Greater than 3,Living Together,4th grade,12th grade,other,other,course,30 min to 1 hour,2 to 5 hours,1,no,yes,no,yes,yes,yes,yes,no,Excellent,limited,regularly,Very Low,high,very good,20,yes
Male,15,Greater than 3,Living Together,12th grade,higher education,other,other,reputation,<15 min,<2 hours,0,no,no,no,no,yes,yes,yes,no,Average,plenty,occasionally,Very Low,low,good,6,no
Female,15,Greater than 3,Living Together,4th grade,9th grade,at_home,services,course,<15 min,2 to 5 hours,0,no,no,no,no,no,yes,yes,no,Average,limited,occasionally,Very Low,low,very bad,2,no
Male,15,Greater than 3,Living Together,9th grade,9th grade,services,services,home,<15 min,>10 hours,0,no,yes,yes,yes,yes,yes,yes,no,Excellent,ample,regularly,Very Low,low,very good,6,no
Female,16,Less or equal to 3,Living Together,9th grade,higher education,other,health,course,15 to 30 min,2 to 5 hours,0,no,yes,yes,yes,yes,yes,yes,yes,Good,limited,rarely,Very Low,low,very good,2,no
Male,16,Greater than 3,Living Together,higher education,higher education,health,other,course,<15 min,<2 hours,0,no,yes,no,yes,yes,yes,yes,no,Average,plenty,regularly,Very Low,high,very good,18,no
Female,16,Greater than 3,Living Together,9th grade,9th grade,other,other,home,<15 min,2 to 5 hours,0,no,no,yes,no,yes,yes,yes,yes,Excellent,plenty,regularly,Very Low,very low,very good,0,yes
Male,15,Greater than 3,Living Together,12th grade,higher education,services,services,home,<15 min,<2 hours,0,yes,no,no,no,yes,yes,yes,no,Excellent,ample,daily,Average,low,very good,0,no
Female,15,Less or equal to 3,Apart,12th grade,higher education,other,other,home,<15 min,2 to 5 hours,0,yes,no,no,yes,yes,yes,yes,yes,Excellent,moderate,rarely,Very Low,very low,very bad,0,no
Female,19,Greater than 3,Living Together,none,4th grade,at_home,other,course,<15 min,2 to 5 hours,3,no,yes,no,no,no,no,no,no,Average,plenty,rarely,Very Low,very low,very good,2,yes
