sex,age,Family Size,Parents' Cohabitation Status,Mother's education,Father's education,Mother's job,Father's job,reason to choose school,traveltime (home to school),weekly study time ,past class failures,schoolsup,famsup,takes extra paid classes,extra-curricular activities,nursery,willingness to pursue higher education,access to internet,In romantic relationship or not,famrel,freetime after school,Going Out,Workday Alchohol Consumption,Weekend Alchohol Consumption,health,absences,dropout
Male,18,Greater than 3,Living Together,9th grade,9th grade,services,other,reputation,<15 min,<2 hours,2,no,yes,no,yes,yes,yes,yes,no,Average,moderate,occasionally,Very Low,low,good,0,yes
Male,16,Greater than 3,Living Together,higher education,higher education,teacher,teacher,course,<15 min,<2 hours,0,no,no,yes,yes,yes,yes,yes,no,Average,ample,daily,Low,very high,good,8,no
Female,15,Greater than 3,Living Together,12th grade,higher education,services,teacher,course,15 to 30 min,5 to 10 hours,2,no,yes,no,no,yes,yes,yes,yes,Good,limited,rarely,Low,low,very good,0,yes
Female,15,Greater than 3,Living Together,4th grade,4th grade,at_home,other,course,30 min to 1 hour,<2 hours,0,no,yes,no,yes,no,yes,yes,yes,Good,moderate,occasionally,Very Low,low,good,0,yes
Female,17,Less or equal to 3,Living Together,9th grade,9th grade,other,other,course,<15 min,<2 hours,0,no,yes,no,no,yes,yes,yes,yes,Average,plenty,regularly,Very Low,average,very good,12,no
Female,16,Greater than 3,Apart,12th grade,higher education,services,other,course,<15 min,<2 hours,0,no,no,no,no,yes,yes,yes,no,Average,limited,very rarely,Very Low,high,very good,16,no
Male,15,Greater than 3,Living Together,12th grade,higher education,at_home,teacher,course,>1 hour,2 to 5 hours,0,no,yes,no,no,yes,yes,no,yes,Excellent,moderate,occasionally,Very Low,very low,very good,0,yes
Female,15,Greater than 3,Living Together,higher education,higher education,services,at_home,course,<15 min,5 to 10 hours,0,no,yes,no,yes,yes,yes,yes,yes,Good,moderate,occasionally,Very Low,very low,very good,0,yes
Male,17,Greater than 3,Living Together,12th grade,higher education,at_home,other,course,30 min to 1 hour,2 to 5 hours,0,no,no,no,no,yes,yes,no,no,Excellent,plenty,daily,Low,high,very good,0,yes
Female,16,Greater than 3,Apart,12th grade,12th grade,other,other,course,15 to 30 min,<2 hours,2,no,yes,no,yes,no,yes,yes,yes,Good,moderate,rarely,Very Low,very low,very good,0,yes
Male,16,Less or equal to 3,Living Together,4th grade,4th grade,services,other,course,<15 min,2 to 5 hours,1,no,no,no,no,yes,yes,no,yes,Good,plenty,regularly,Very Low,average,very good,0,no
Female,15,Greater than 3,Living Together,higher education,higher education,teacher,teacher,course,15 to 30 min,<2 hours,0,no,no,no,yes,yes,yes,yes,no,Good,moderate,rarely,Very Low,very low,very good,0,no
Male,15,Greater than 3,Living Together,higher education,12th grade,teacher,services,course,15 to 30 min,>10 hours,0,yes,yes,no,no,yes,yes,yes,no,Bad,limited,rarely,Very Low,very low,average,0,yes
Male,16,Less or equal to 3,Living Together,9th grade,9th grade,services,services,reputation,15 to 30 min,<2 hours,2,no,yes,no,yes,yes,yes,yes,no,Bad,moderate,occasionally,Low,low,bad,8,yes
Female,15,Greater than 3,Living Together,higher education,higher education,teacher,services,course,<15 min,5 to 10 hours,0,no,yes,yes,yes,yes,yes,yes,no,Good,limited,rarely,Very Low,very low,very good,2,no
Female,16,Less or equal to 3,Living Together,4th grade,4th grade,at_home,at_home,course,<15 min,<2 hours,0,no,no,no,no,yes,yes,yes,no,Average,plenty,regularly,Average,average,very bad,2,no
Male,17,Greater than 3,Living Together,9th grade,4th grade,other,other,home,<15 min,<2 hours,3,no,yes,no,no,yes,yes,yes,no,Excellent,plenty,daily,Very Low,low,very good,0,yes
Female,15,Greater than 3,Living Together,4th grade,4th grade,other,services,course,<15 min,2 to 5 hours,0,no,yes,yes,no,yes,yes,yes,no,Good,plenty,rarely,Very Low,low,very good,0,no
Female,15,Greater than 3,Living Together,12th grade,9th grade,health,services,home,<15 min,2 to 5 hours,3,no,yes,no,no,yes,yes,yes,no,Average,moderate,rarely,Very Low,very low,average,0,yes
Female,15,Greater than 3,Living Together,4th grade,9th grade,at_home,other,course,<15 min,2 to 5 hours,0,no,yes,yes,no,no,yes,yes,no,Good,moderate,rarely,Very Low,very low,very good,2,no
Male,16,Greater than 3,Living Together,higher education,higher education,teacher,teacher,course,<15 min,<2 hours,0,no,yes,no,no,yes,no,yes,yes,Average,moderate,rarely,Low,very low,very good,0,yes
Male,15,Less or equal to 3,Apart,9th grade,4th grade,services,other,course,>1 hour,<2 hours,3,no,no,no,no,yes,yes,yes,no,Good,ample,daily,Low,very high,very good,0,no
Male,18,Less or equal to 3,Living Together,4th grade,4th grade,other,other,course,<15 min,<2 hours,3,no,no,no,no,yes,no,yes,yes,Bad,moderate,daily,Low,very high,good,0,yes
Male,16,Less or equal to 3,Living Together,9th grade,4th grade,at_home,other,course,<15 min,<2 hours,1,no,no,no,yes,yes,yes,no,yes,Good,plenty,regularly,Average,very high,very good,6,no
Female,15,Greater than 3,Living Together,12th grade,12th grade,services,services,reputation,15 to 30 min,5 to 10 hours,2,no,yes,yes,yes,yes,yes,yes,yes,Good,limited,very rarely,Low,average,average,8,no
Male,19,Greater than 3,Living Together,12th grade,9th grade,services,at_home,home,<15 min,<2 hours,3,no,yes,no,no,yes,no,yes,yes,Good,ample,regularly,Very Low,very low,good,0,yes
Female,17,Greater than 3,Living Together,higher education,higher education,other,teacher,course,<15 min,<2 hours,0,yes,yes,no,no,yes,yes,no,yes,Good,limited,very rarely,Very Low,very low,good,0,no
Male,15,Greater than 3,Living Together,9th grade,12th grade,at_home,services,course,<15 min,2 to 5 hours,0,yes,no,yes,yes,yes,yes,no,no,Good,plenty,regularly,Very Low,very low,very bad,2,yes
Male,17,Less or equal to 3,Living Together,4th grade,9th grade,other,other,reputation,<15 min,<2 hours,0,no,no,no,no,yes,yes,no,no,Bad,limited,rarely,Average,average,very good,8,no
Female,18,Greater than 3,Living Together,4th grade,4th grade,at_home,other,course,30 min to 1 hour,<2 hours,3,no,yes,no,yes,no,yes,no,no,Excellent,limited,daily,Very Low,very high,good,6,no
Male,16,Greater than 3,Living Together,9th grade,9th grade,at_home,other,course,30 min to 1 hour,<2 hours,0,no,no,no,no,no,yes,no,no,Good,limited,rarely,Very Low,low,average,2,no
Male,16,Greater than 3,Living Together,12th grade,12th grade,other,services,course,<15 min,2 to 5 hours,1,no,yes,yes,no,yes,yes,yes,yes,Good,ample,daily,High,high,very good,4,no
Male,17,Less or equal to 3,Living Together,9th grade,4th grade,at_home,other,course,15 to 30 min,<2 hours,2,no,no,no,yes,yes,no,yes,yes,Average,moderate,rarely,Low,low,very good,0,yes
Male,15,Greater than 3,Living Together,12th grade,9th grade,other,other,course,15 to 30 min,2 to 5 hours,2,yes,yes,no,no,yes,yes,yes,yes,Good,plenty,regularly,Very Low,high,average,6,yes
Male,16,Less or equal to 3,Living Together,4th grade,9th grade,other,other,course,15 to 30 min,<2 hours,1,no,no,no,yes,yes,yes,no,no,Good,plenty,regularly,Low,high,very good,0,yes
Male,17,Greater than 3,Living Together,4th grade,12th grade,at_home,services,course,<15 min,<2 hours,0,no,no,no,no,yes,no,yes,no,Excellent,moderate,occasionally,Very Low,high,bad,2,no
Male,17,Less or equal to 3,Living Together,4th grade,4th grade,other,services,course,>1 hour,2 to 5 hours,3,no,no,no,yes,yes,no,no,yes,Excellent,moderate,daily,Very Low,very high,very good,0,yes
Male,16,Greater than 3,Living Together,12th grade,9th grade,services,services,course,15 to 30 min,<2 hours,1,no,yes,no,yes,no,no,no,no,Good,ample,rarely,Very Low,very low,bad,16,no
Male,16,Greater than 3,Living Together,9th grade,9th grade,other,other,course,<15 min,2 to 5 hours,0,no,no,no,no,yes,no,yes,no,Good,moderate,daily,Low,high,good,4,no
Female,16,Greater than 3,Living Together,higher education,9th grade,health,services,home,<15 min,2 to 5 hours,0,no,no,yes,no,yes,yes,yes,yes,Good,limited,occasionally,Very Low,very low,average,0,no
Female,16,Greater than 3,Living Together,9th grade,9th grade,other,other,home,<15 min,2 to 5 hours,0,no,yes,yes,no,no,yes,yes,no,Excellent,scarce,daily,Very Low,very low,good,0,yes
Female,16,Greater than 3,Living Together,higher education,higher education,health,health,reputation,<15 min,2 to 5 hours,0,no,yes,yes,no,yes,yes,yes,yes,Good,plenty,rarely,Very Low,very low,average,0,no
Male,16,Greater than 3,Living Together,12th grade,higher education,other,other,course,30 min to 1 hour,<2 hours,2,no,yes,no,yes,no,yes,yes,no,Average,plenty,daily,Low,high,bad,0,yes
Male,16,Greater than 3,Living Together,4th grade,none,other,other,reputation,15 to 30 min,2 to 5 hours,0,no,yes,yes,yes,yes,yes,yes,yes,Good,moderate,rarely,Very Low,very low,average,2,no
Male,17,Less or equal to 3,Living Together,higher education,higher education,teacher,other,reputation,<15 min,2 to 5 hours,0,no,yes,yes,yes,yes,yes,yes,no,Good,plenty,regularly,Very Low,average,very good,0,no
Female,16,Greater than 3,Living Together,4th grade,12th grade,at_home,services,home,<15 min,2 to 5 hours,3,no,no,no,yes,no,yes,yes,yes,Good,moderate,daily,Very Low,very low,average,0,yes
Female,16,Less or equal to 3,Living Together,12th grade,12th grade,other,other,reputation,15 to 30 min,2 to 5 hours,0,no,yes,yes,yes,yes,yes,yes,no,Good,plenty,daily,Very Low,very low,good,4,yes
Male,17,Less or equal to 3,Living Together,higher education,12th grade,teacher,other,course,15 to 30 min,2 to 5 hours,0,no,no,yes,yes,yes,yes,yes,no,Good,plenty,regularly,High,high,good,4,yes
Female,16,Greater than 3,Living Together,9th grade,9th grade,services,other,reputation,15 to 30 min,2 to 5 hours,0,no,no,yes,yes,no,yes,yes,no,Average,plenty,regularly,Very Low,high,very good,2,no
Male,17,Greater than 3,Living Together,12th grade,12th grade,other,other,reputation,<15 min,2 to 5 hours,0,no,no,no,yes,no,yes,yes,no,Good,moderate,regularly,Very Low,high,good,4,yes
Male,16,Greater than 3,Living Together,higher education,9th grade,teacher,services,other,<15 min,<2 hours,0,no,yes,no,yes,yes,yes,yes,yes,Good,moderate,occasionally,Average,high,average,10,yes
Male,17,Greater than 3,Living Together,higher education,12th grade,other,other,course,<15 min,2 to 5 hours,0,no,yes,no,yes,yes,yes,yes,yes,Excellent,limited,occasionally,Very Low,very low,bad,4,no
Male,16,Greater than 3,Living Together,higher education,12th grade,teacher,other,home,<15 min,2 to 5 hours,0,no,yes,yes,yes,yes,yes,yes,no,Average,plenty,occasionally,Low,average,average,10,yes
Male,16,Greater than 3,Living Together,12th grade,12th grade,services,other,home,<15 min,2 to 5 hours,0,no,no,yes,yes,yes,yes,yes,yes,Good,limited,occasionally,Very Low,low,average,2,no
Female,17,Greater than 3,Living Together,9th grade,higher education,services,services,reputation,<15 min,2 to 5 hours,0,no,yes,no,yes,yes,yes,no,no,Excellent,plenty,rarely,Low,average,very good,0,no
Female,17,Less or equal to 3,Living Together,12th grade,12th grade,other,other,reputation,<15 min,2 to 5 hours,0,no,yes,no,yes,yes,yes,yes,yes,Excellent,moderate,occasionally,Low,average,very bad,56,yes
Female,16,Greater than 3,Living Together,12th grade,9th grade,other,other,reputation,<15 min,2 to 5 hours,0,no,yes,yes,no,yes,yes,yes,no,Very Bad,limited,rarely,Very Low,low,very bad,14,no
Male,17,Greater than 3,Living Together,12th grade,12th grade,services,services,other,<15 min,2 to 5 hours,0,no,yes,no,yes,yes,yes,yes,yes,Good,moderate,regularly,Low,average,good,12,no
Male,16,Greater than 3,Living Together,4th grade,9th grade,services,services,other,<15 min,<2 hours,0,no,yes,yes,yes,yes,yes,yes,yes,Average,moderate,occasionally,Very Low,low,average,2,no
Male,16,Less or equal to 3,Living Together,9th grade,4th grade,other,other,course,<15 min,2 to 5 hours,0,no,no,yes,yes,yes,yes,yes,yes,Good,limited,occasionally,Very Low,low,very good,0,no
Female,17,Greater than 3,Apart,12th grade,12th grade,health,other,reputation,<15 min,2 to 5 hours,0,no,yes,no,no,no,yes,yes,yes,Average,moderate,occasionally,Very Low,average,average,6,yes
Male,17,Greater than 3,Living Together,4th grade,9th grade,at_home,other,home,<15 min,2 to 5 hours,0,no,no,no,no,yes,yes,no,no,Average,scarce,occasionally,Very Low,very high,average,4,no
Female,16,Greater than 3,Living Together,9th grade,12th grade,services,services,course,<15 min,2 to 5 hours,0,no,no,no,no,yes,yes,yes,no,Good,moderate,occasionally,Very Low,very low,bad,10,no
Female,17,Greater than 3,Living Together,4th grade,4th grade,at_home,services,course,<15 min,2 to 5 hours,0,no,no,no,yes,yes,yes,yes,no,Excellent,moderate,occasionally,Very Low,very low,average,0,yes
Male,17,Greater than 3,Living Together,4th grade,9th grade,at_home,services,other,15 to 30 min,2 to 5 hours,0,no,no,yes,yes,no,yes,yes,no,Good,plenty,regularly,High,very high,very good,12,yes
Male,16,Greater than 3,Living Together,12th grade,12th grade,services,services,reputation,<15 min,<2 hours,0,no,yes,no,yes,yes,yes,yes,no,Good,moderate,rarely,Average,high,very good,8,no
Male,16,Greater than 3,Living Together,9th grade,12th grade,other,other,home,15 to 30 min,<2 hours,0,no,no,no,no,yes,yes,yes,no,Excellent,moderate,occasionally,Very Low,very low,average,0,no
Female,17,Less or equal to 3,Living Together,9th grade,higher education,services,services,course,<15 min,2 to 5 hours,0,no,no,no,yes,yes,yes,yes,yes,Good,moderate,rarely,Very Low,very low,very good,0,no
Male,17,Greater than 3,Living Together,higher education,higher education,services,teacher,home,<15 min,<2 hours,0,no,no,no,no,yes,yes,yes,no,Excellent,limited,occasionally,Very Low,low,very good,4,no
Male,16,Less or equal to 3,Living Together,12th grade,12th grade,teacher,other,home,30 min to 1 hour,<2 hours,0,no,yes,yes,yes,yes,yes,yes,no,Average,moderate,regularly,Average,very high,average,8,no
Female,17,Greater than 3,Living Together,higher education,higher education,services,teacher,home,15 to 30 min,<2 hours,1,no,yes,no,no,yes,yes,yes,no,Good,limited,regularly,Low,average,bad,24,no
Female,16,Less or equal to 3,Living Together,higher education,higher education,teacher,teacher,reputation,<15 min,2 to 5 hours,0,no,yes,yes,no,yes,yes,yes,no,Good,ample,rarely,Very Low,low,average,0,no
Female,16,Greater than 3,Living Together,higher education,12th grade,health,other,home,<15 min,2 to 5 hours,0,no,yes,no,yes,yes,yes,yes,no,Good,moderate,daily,Very Low,very high,bad,2,no
Female,16,Greater than 3,Living Together,9th grade,12th grade,other,other,reputation,<15 min,2 to 5 hours,0,yes,yes,yes,yes,yes,yes,no,no,Good,plenty,occasionally,Very Low,average,good,6,no
Female,17,Greater than 3,Living Together,4th grade,4th grade,other,other,course,<15 min,2 to 5 hours,0,no,yes,yes,no,no,yes,no,no,Good,plenty,regularly,Very Low,average,very bad,4,no
Female,17,Greater than 3,Living Together,9th grade,9th grade,other,other,reputation,<15 min,<2 hours,0,no,yes,no,no,yes,yes,yes,no,Excellent,moderate,rarely,Very Low,low,average,18,yes
Female,16,Greater than 3,Living Together,9th grade,9th grade,services,services,reputation,15 to 30 min,>10 hours,0,no,yes,yes,yes,no,yes,yes,no,Excellent,moderate,daily,Very Low,very low,very good,6,no
Female,17,Greater than 3,Living Together,12th grade,higher education,at_home,services,home,<15 min,5 to 10 hours,1,no,yes,yes,no,yes,yes,yes,yes,Good,plenty,occasionally,Average,high,very good,28,yes
Female,16,Greater than 3,Apart,12th grade,4th grade,services,other,course,<15 min,2 to 5 hours,3,no,yes,yes,no,yes,yes,yes,no,Bad,moderate,occasionally,Low,low,good,5,yes
Female,16,Greater than 3,Living Together,higher education,12th grade,teacher,other,other,<15 min,2 to 5 hours,0,no,no,yes,yes,yes,yes,yes,yes,Very Bad,moderate,rarely,Very Low,very low,very bad,10,no
Female,16,Greater than 3,Living Together,4th grade,4th grade,at_home,other,home,15 to 30 min,<2 hours,0,no,yes,yes,no,yes,yes,no,no,Good,moderate,rarely,Very Low,high,very good,6,no
Female,17,Greater than 3,Living Together,higher education,12th grade,teacher,other,reputation,15 to 30 min,5 to 10 hours,0,no,yes,yes,yes,yes,yes,yes,yes,Good,plenty,rarely,Very Low,very low,good,6,yes
Female,19,Greater than 3,Living Together,12th grade,12th grade,other,other,reputation,<15 min,>10 hours,0,no,yes,yes,yes,yes,yes,yes,no,Good,moderate,occasionally,Very Low,low,average,10,yes
Male,17,Less or equal to 3,Living Together,higher education,higher education,services,other,home,<15 min,2 to 5 hours,0,no,yes,yes,no,yes,yes,yes,yes,Excellent,moderate,daily,High,very high,average,13,no
Female,16,Greater than 3,Apart,9th grade,9th grade,other,other,reputation,<15 min,2 to 5 hours,0,yes,yes,yes,no,yes,yes,yes,no,Average,moderate,regularly,Very Low,very low,good,0,no
Male,18,Greater than 3,Living Together,9th grade,9th grade,services,other,home,<15 min,2 to 5 hours,1,no,yes,yes,yes,yes,yes,yes,no,Good,plenty,regularly,Low,high,very good,15,yes
Female,17,Less or equal to 3,Living Together,higher education,higher education,services,other,other,<15 min,<2 hours,0,no,yes,yes,no,yes,yes,no,no,Excellent,limited,very rarely,Very Low,low,average,12,no
Female,17,Less or equal to 3,Living Together,12th grade,9th grade,other,other,reputation,15 to 30 min,2 to 5 hours,0,no,no,yes,no,yes,yes,yes,no,Good,plenty,regularly,Very Low,average,very bad,2,no
Female,17,Greater than 3,Living Together,higher education,12th grade,other,other,reputation,<15 min,2 to 5 hours,2,no,no,yes,no,yes,yes,yes,yes,Average,plenty,daily,Low,high,very bad,22,yes
Male,18,Less or equal to 3,Living Together,12th grade,12th grade,services,health,home,<15 min,2 to 5 hours,1,no,yes,yes,no,yes,yes,yes,no,Average,limited,regularly,Low,high,good,13,yes
Female,17,Greater than 3,Living Together,9th grade,12th grade,at_home,other,home,15 to 30 min,<2 hours,0,no,yes,yes,no,yes,yes,no,no,Average,moderate,occasionally,Very Low,high,average,3,yes
Female,17,Greater than 3,Living Together,9th grade,9th grade,at_home,at_home,course,<15 min,5 to 10 hours,0,no,yes,yes,yes,yes,yes,yes,no,Good,moderate,occasionally,Very Low,very low,good,4,no
Female,17,Greater than 3,Living Together,9th grade,4th grade,at_home,services,reputation,15 to 30 min,2 to 5 hours,0,no,yes,no,yes,yes,yes,yes,no,Good,limited,daily,Very Low,low,very good,2,yes
Female,17,Greater than 3,Living Together,4th grade,4th grade,at_home,other,reputation,<15 min,5 to 10 hours,1,no,yes,no,yes,yes,yes,no,yes,Good,moderate,regularly,Very Low,very low,very good,0,yes
Female,16,Greater than 3,Living Together,9th grade,12th grade,services,teacher,other,<15 min,2 to 5 hours,0,yes,no,no,no,yes,yes,yes,no,Bad,moderate,very rarely,Very Low,very low,average,2,no
Male,18,Greater than 3,Living Together,9th grade,9th grade,other,other,home,15 to 30 min,2 to 5 hours,0,no,yes,yes,no,yes,yes,yes,no,Average,moderate,occasionally,Very High,very high,good,0,no
Female,16,Greater than 3,Living Together,higher education,higher education,teacher,services,home,<15 min,5 to 10 hours,0,no,yes,no,yes,no,yes,yes,no,Excellent,moderate,rarely,Very Low,very low,very good,0,no
Female,18,Greater than 3,Living Together,12th grade,4th grade,other,other,reputation,<15 min,2 to 5 hours,1,no,no,no,yes,yes,yes,yes,yes,Excellent,moderate,occasionally,Very Low,very low,good,16,yes
Female,17,Greater than 3,Living Together,12th grade,9th grade,other,other,course,<15 min,2 to 5 hours,0,no,no,no,yes,no,yes,yes,no,Excellent,moderate,regularly,Very Low,average,average,10,no
Male,17,Less or equal to 3,Living Together,9th grade,12th grade,services,services,reputation,<15 min,2 to 5 hours,0,no,yes,yes,no,no,yes,yes,no,Excellent,moderate,occasionally,Very Low,average,average,2,no
Male,18,Less or equal to 3,Living Together,9th grade,4th grade,at_home,other,course,>1 hour,2 to 5 hours,0,yes,yes,yes,yes,yes,yes,yes,yes,Good,moderate,rarely,High,very high,average,14,yes
Female,17,Greater than 3,Apart,9th grade,4th grade,other,other,course,15 to 30 min,5 to 10 hours,0,no,no,no,yes,yes,yes,yes,yes,Average,limited,occasionally,Very Low,low,average,10,no
Female,17,Less or equal to 3,Living Together,higher education,12th grade,health,other,reputation,<15 min,2 to 5 hours,0,no,no,no,yes,yes,yes,yes,yes,Average,limited,occasionally,Very Low,low,average,14,no
Male,17,Greater than 3,Living Together,9th grade,9th grade,other,other,course,15 to 30 min,2 to 5 hours,0,no,yes,yes,yes,yes,yes,yes,no,Good,ample,rarely,Very Low,very low,very bad,4,no
Male,17,Greater than 3,Living Together,higher education,higher education,teacher,teacher,reputation,<15 min,2 to 5 hours,0,yes,yes,no,yes,yes,yes,yes,yes,Good,ample,daily,Very Low,average,bad,14,yes
Male,16,Greater than 3,Living Together,higher education,higher education,health,other,reputation,<15 min,2 to 5 hours,0,no,yes,yes,yes,yes,yes,yes,no,Good,limited,regularly,Low,high,very bad,2,no
Male,16,Less or equal to 3,Living Together,4th grade,4th grade,other,other,home,15 to 30 min,2 to 5 hours,0,no,yes,yes,no,yes,yes,yes,no,Average,plenty,rarely,Very Low,very low,very good,18,yes
Male,16,Greater than 3,Living Together,12th grade,9th grade,at_home,other,reputation,15 to 30 min,5 to 10 hours,0,no,no,no,yes,yes,yes,yes,yes,Excellent,moderate,occasionally,Very Low,average,bad,10,no
Male,17,Less or equal to 3,Living Together,9th grade,9th grade,other,other,home,<15 min,2 to 5 hours,0,no,no,yes,yes,no,yes,yes,yes,Good,plenty,rarely,Very High,very high,good,4,no
Female,16,Greater than 3,Living Together,9th grade,4th grade,other,other,home,<15 min,<2 hours,0,no,no,no,no,yes,yes,yes,yes,Good,ample,rarely,Very Low,very low,very good,20,no
Female,17,Greater than 3,Living Together,9th grade,4th grade,at_home,services,course,30 min to 1 hour,2 to 5 hours,0,no,no,no,yes,yes,yes,no,no,Bad,scarce,very rarely,Very Low,very low,average,2,no
Male,18,Greater than 3,Living Together,9th grade,9th grade,other,services,reputation,<15 min,2 to 5 hours,1,no,no,no,no,yes,no,yes,no,Excellent,ample,regularly,Average,very high,bad,0,yes
Male,17,Less or equal to 3,Living Together,higher education,12th grade,health,other,course,15 to 30 min,2 to 5 hours,0,no,no,no,yes,yes,yes,yes,yes,Bad,ample,daily,Very Low,high,very good,14,no
Male,17,Less or equal to 3,Apart,higher education,higher education,teacher,other,course,15 to 30 min,2 to 5 hours,0,no,yes,yes,no,yes,yes,yes,no,Average,moderate,occasionally,Low,average,good,2,no
Male,16,Less or equal to 3,Living Together,higher education,12th grade,teacher,other,course,<15 min,<2 hours,0,no,no,no,yes,no,yes,yes,no,Excellent,plenty,daily,Very Low,very low,average,0,yes
Male,16,Greater than 3,Living Together,higher education,higher education,services,services,course,<15 min,<2 hours,0,no,no,no,yes,yes,yes,yes,no,Excellent,moderate,rarely,Very Low,low,very good,0,no
Female,18,Greater than 3,Living Together,9th grade,4th grade,other,other,course,15 to 30 min,5 to 10 hours,0,no,yes,yes,no,no,yes,yes,yes,Good,plenty,regularly,Very Low,very low,average,0,yes
Male,16,Greater than 3,Living Together,9th grade,4th grade,other,other,course,30 min to 1 hour,<2 hours,0,no,no,no,no,yes,yes,yes,no,Good,moderate,occasionally,Very Low,very low,good,6,no
Male,17,Greater than 3,Living Together,9th grade,12th grade,other,other,course,15 to 30 min,<2 hours,0,no,no,no,no,yes,yes,yes,no,Excellent,limited,rarely,Very Low,very low,bad,4,no
Male,22,Greater than 3,Living Together,12th grade,4th grade,services,services,other,<15 min,<2 hours,3,no,no,no,no,no,no,yes,yes,Excellent,plenty,daily,Very High,very high,very bad,16,yes
Male,18,Less or equal to 3,Living Together,12th grade,12th grade,other,services,course,<15 min,2 to 5 hours,1,no,yes,no,no,yes,yes,yes,yes,Good,moderate,occasionally,Very Low,average,very good,8,yes
Male,16,Greater than 3,Living Together,none,9th grade,other,other,other,<15 min,<2 hours,0,no,no,yes,no,no,yes,yes,no,Good,moderate,rarely,Low,high,very good,0,no
Male,18,Greater than 3,Living Together,12th grade,9th grade,services,other,course,15 to 30 min,<2 hours,1,no,no,no,no,yes,no,yes,no,Good,plenty,daily,Low,high,very good,0,yes
Male,16,Greater than 3,Living Together,12th grade,12th grade,at_home,other,reputation,30 min to 1 hour,2 to 5 hours,0,yes,yes,no,no,no,yes,yes,no,Excellent,moderate,occasionally,Very Low,average,bad,6,no
Male,18,Greater than 3,Living Together,9th grade,4th grade,services,services,other,<15 min,<2 hours,1,no,no,no,no,no,no,yes,no,Average,limited,daily,Low,very high,very good,4,yes
Male,16,Greater than 3,Living Together,9th grade,4th grade,other,other,course,15 to 30 min,<2 hours,0,no,no,no,yes,no,yes,no,no,Average,moderate,rarely,Very Low,average,average,0,yes
Male,17,Greater than 3,Living Together,9th grade,4th grade,other,other,course,<15 min,<2 hours,0,no,no,no,no,no,yes,yes,no,Good,plenty,rarely,Low,high,very good,0,no
Male,17,Less or equal to 3,Living Together,4th grade,4th grade,health,other,course,15 to 30 min,<2 hours,1,no,yes,no,yes,yes,yes,yes,no,Good,plenty,regularly,Very Low,low,very good,2,yes
Female,17,Less or equal to 3,Living Together,higher education,9th grade,teacher,services,reputation,<15 min,>10 hours,0,no,yes,yes,yes,yes,yes,yes,no,Good,limited,occasionally,Very Low,very low,good,6,no
Male,19,Less or equal to 3,Apart,higher education,12th grade,services,at_home,reputation,<15 min,2 to 5 hours,0,no,yes,no,no,yes,yes,yes,no,Good,moderate,very rarely,Very Low,very low,very bad,12,no
Male,18,Greater than 3,Living Together,9th grade,4th grade,other,other,home,<15 min,2 to 5 hours,0,no,no,no,yes,yes,yes,yes,no,Excellent,limited,regularly,Very Low,low,good,8,no
Female,17,Less or equal to 3,Living Together,9th grade,9th grade,services,services,course,<15 min,>10 hours,0,no,no,yes,yes,yes,yes,yes,yes,Average,plenty,very rarely,Very Low,very low,bad,0,yes
Female,18,Greater than 3,Living Together,higher education,12th grade,services,other,home,<15 min,2 to 5 hours,0,no,yes,yes,no,yes,yes,yes,yes,Average,scarce,rarely,Very Low,average,bad,21,no
Male,18,Greater than 3,Living Together,higher education,12th grade,teacher,other,course,<15 min,2 to 5 hours,0,no,yes,yes,no,no,yes,yes,no,Good,moderate,rarely,Very Low,very low,average,2,yes
